Name,AccountId,IsPrivate,Description,StageName,Amount,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,ForecastCategoryName,CampaignId,Pricebook2Id,SyncedQuoteId,ContractId,AI_Countries_Benefited_Copy__c,AI_Account_Role__c,AI_Administrative_Unit__c,AI_and_Machine_Learning__c,Loss_Reason_Picklist__c,AI_Role__c,Augmented_Virtual_Reality__c,Biotech__c,Blockchain__c,Topics__c,Connectivity__c,Countries_Involved__c,Country_Strategy_Priority__c,Is_Minute_Complete__c,ORP_ActualSignatureDate__c,External_Collaboration_Co_Financing__c,ORP_AmountInOriginalCurrency__c,Focus_Area__c,ICT_and_Big_Data__c,ORP_CRFReporting__c,ORP_Complexity__c,AI_Area__c,Intelligent_Location_Services__c,Multisector__c,Opportunity_Iniciators__c,Opportunity_Source__c,Other_IDB_Product_Related__c,ORP_DocumentTitle__c,ORP_Innovation__c,ORP_InnovativeFinance__c,ORP_Leverage__c,ORP_Maintenance__c,Quantum_Computing__c,Referred_Institution__c,ORP_OperationFocus__c,Robotics__c,Sector_Global__c,ORP_OriginalCurrency__c,Shared__c,Subsector_Global__c,X3D_Printing__c,Eligible_Pitch__c,ORP_Pipeline_Year__c,ORP_Potential__c,AI_Sub_Area__c,AI_Technology__c,ORP_PressRelease__c,Other__c,AI5Q_pdf_related__c,Loss_Reason__c,Country_Benefited__c,Beneficiary_Type__c,IDB_Lab_Amount__c,Instrument__c,Instrument_Type__c,Is5QCreated__c,Is5Qcomplete__c,Initiative__c,ORP_Reimbursable_NonReimbursable__c,ORP_Relevance__c,ORP_SGO_NSG__c,ORP_Country_Benefited__c,ORP_Id__c,ORP_Recipient_Fund__c,Is_Public_Pitch_Complete__c,DB_Competitor__c,Minute_Completion_Date__c,PSR_AreaSubAreaJustification__c,PSR_BeneficiaryTypeJustification__c,PSR_TypeOfFunds__c,PSR_TypeOfSession__c,Pitch_ID__c,Preliminary_ESG__c,Previous_Pitch_ID__c,Additional_Tags__c,SDG__c,Errors
"Publications of hydrogeological studies conducted in the Port-au-Prince Metropolitan Region, Haiti",0012200000VBlpJAAT,false,"Thanks to TC HA-T1239, hydro-geological studies of significant impact on decision-making for the sustainable exploitation of water resources in the metropolitan region of Port-au-Prince were developed. This opportunity consists in the publication in scientific dissemination journals.",Initiation,,,2021-01-31,Knowledge Product,,,Pipeline,,,,,HT,Administrator,Water and Sanitation Division,false,,Responsible,false,false,false,Water and Sanitation;,false,,,false,,,,,false,,,,false,,IDB,Knowledge Product,,,,,,,false,,,false,Water and Sanitation,,,,false,,,,,,,false,,,HT,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Drinking water supply and power generation pilots projects,0012200000VBlpJAAT,false,"Three pilot projects, in rural areas in Haiti, financed by HA-L1135, will be developed in which small electricity generation and water production systems will be installed. The same operator will be responsible for managing both systems.",In Progress,,,2022-08-31,Knowledge Product,,,Pipeline,,,,,HT,Administrator,Country Office in Haiti,false,,Responsible,false,false,false,Water and Sanitation;,false,,,false,,,,,false,,,,false,,Shared,Existing Operation,,,,,,,false,,,false,Water and Sanitation,,IDB;IDB Lab,,false,,,,,,,false,,,HT,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Update of the hydrogeological map of Haiti,0012200000VBlpJAAT,false,"The hydrogeological information available for Haiti does not allow for water resources planning. The hydrogeological map of the country is the most significant existing reference and it has a scale of 1:250,000, which gives a rough idea of the most important sources of groundwater. However, the map dates from 1990. This product refers to the preparation of the terms of reference for the updating of the geological and hydrogeological map as well as its execution obtaining a better scale in areas of interest",Initiation,,,2023-12-31,Knowledge Product,,,Pipeline,,,,,HT,Administrator,Water and Sanitation Division,false,,Responsible,false,false,false,Water and Sanitation;,false,,,false,,,,,false,,,,false,,IDB,,,,,,,,false,,,false,Water and Sanitation,,,,false,,,,,,,false,,,HT,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Momance River diversion; fourth phase of investment in drinking water and sanitation in the Port-au-Prince Metropolitan,0012200000VBlpJAAT,false,"Through the TC HA-T1239, feasibility studies were carried out to determine the medium- and long-term supply of drinking water solution for Haiti's capital, Port-au-Prince. The solution retained is a diversion work on the Momance River, a solution that would allow the transport of water by gravity to supply about 400 thousand people. Its operation would be combined with the wells available in the Plaine du Cul de Sac aquifer in the dry season",In Progress,,,2022-12-31,Loans,,,Pipeline,,,,,HT,Administrator,Country Office in Haiti,false,,Responsible,false,false,false,Water and Sanitation;,false,,,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Water and Sanitation,,,Water Supply Urban,false,,,,,,,false,,,HT,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Apoyo al Plan Nacional de Infraestructura de la República Dominicana,0012200000VBm1sAAD,false,"Apoyo a la formación de un Plan Nacional de Infraestructura para la República Dominicana, a través del diagnostico de la brecha de infraestructura actual en el país y análisis de los proyectos a desarrollarse en los próximos 10 años. Dicho plan identificaría las obras de infraestructura claves para la productividad, competitividad, calidad de vida y resiliencia de las comunidades ante el cambio climático.
 
Este apoyo incluiría la confección de documento marco de la evaluación, estudio y análisis de la brecha de infraestructura en el país y notas sectoriales para las infraestructuras a desarrollarse (Transporte; Energía; Agua y Saneamiento; Recursos Hídricos; Telecomunicaciones; Salud; y Educación)",In Progress,,,2024-08-16,Technical Cooperation,,,Pipeline,,,,,DO,Administrator,Country Office in Dominican Republic,false,,Responsible,false,false,false,Transport;Education;Water and Sanitation;Hydropower;Telecommunication;,false,,High,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Transport,,,Urban Transport Infrastructure,false,,,,,,,false,,,DO,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Programa de Entornos Escolares Seguros en República Dominicana,0012200000VBluKAAT,false,"La Guía de Evaluación e Implementación de Entornos Escolares Seguros, es un documento técnico que contiene la información necesaria y relevante para llevar a cabo un plan efectivo que obtenga resultados a corto plazo desde el momento de levantamiento de información hasta su posterior análisis en áreas circundantes a los recintos escolares; así como los trayectos utilizados por estudiantes, su comportamiento con relación a la movilidad vehicular y peatonal y su seguridad para el traslado de los estudiantes.

Esta guía será el punto de referencia en el desarrollo de capacidades en las escuelas y colegios para la creación de dichos planes, que tendrán características y necesidades particulares y generales, con el objetivo principal de mejorar la seguridad vial tanto en desplazamientos motorizados como no motorizados de esa zona.",Closed Won,5000,,2020-08-14,Knowledge Product,,,Closed,,,,,DO,Administrator,Transport Division,false,,Responsible,false,false,false,Transport;,false,,High,false,,INTRANT,,,false,,,,false,,IDB,Existing Opportunity,,,,,,,false,0012200000VBluKAAT,,false,Transport,,,"Logistic Planning, Multimodal Transport and Logistic Platforms",false,,,,,,,false,,Publicación en: https://www.intrant.gob.do/index.php/noticias/item/download/122_ca738bea248aeeae0b2d5871d48db0af,DO,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Plan de Reducción de Costos de Cargas,0012200000VBluKAAT,false,"El sector de transporte de carga en la República Dominicana presenta ineficiencias notables relacionadas con la cautividad del mercado por parte de los sindicatos de transporte, que limitan la competencia y hacen aumentar significativamente los precios del transporte y por ende los costos logísticos.

El Plan de Reducción de Costos de Cargas iría orientado al desarrollo de un plan estratégico que ayude a las autoridades competentes en la materia, a tener una guía que les permita a mediano y largo plazo reducir de una forma consistente la matriz de costo, mejorando así la competitividad del servicio disponible actualmente en la República Dominicana.",Initiation,,,2022-08-16,Knowledge Product,,,Pipeline,,,,,DO,Administrator,Transport Division,false,,Responsible,false,false,false,Transport;,false,,High,false,,,,,false,,,,false,,IDB,Existing Opportunity,,,,,,,false,,,false,Transport,,,"Logistic Planning, Multimodal Transport and Logistic Platforms",false,,,,,,,false,,,DO,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Piloto de Innovación Tecnológica en el Sector Transporte y las Cadenas Logísticas,0012200000VBluKAAT,false,"Desarrollo de herramientas y/o procedimientos que implique mejoras en la forma que los productos, servicios, información y relaciones fluyen dentro la red de la cadena de suministro y transporte. A la vez en la cual se otorga una compresión más holística y estratégica de estas operaciones.",Initiation,,,2022-08-16,Technical Cooperation,,,Pipeline,,,,,DO,Administrator,Transport Division,false,,Responsible,false,false,false,Transport;,false,,Medium,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Transport,,,"Logistic Planning, Multimodal Transport and Logistic Platforms",false,,,,,,,false,,,DO,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
CAsA Pilot Program Mandate for CB Paraguay,,false,Potential interest from Central Bank of Paraguay in joining CAsA Pilot Program.,Initiation,0,,2021-08-31,Investment Mandate,,,Pipeline,,,,,PY,,,false,,,false,false,false,Financial Markets;,false,,,false,,,,,false,,,,false,,,Conference Call,,,,,,,false,,,false,Financial Markets,,,,false,,,,,,,false,,,PY,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Conference Call:Opportunity_Source__c --
T&T Tourism and Hospitality Sector- Development of Labour Skills and New Business Models,0012200000VBmf2AAD,false,Promoting the sustainability of Tourism Training institutions utilizing new training modalities and embracing new business models for the local restaurant business.,Closed Lost,,,2021-09-30,Project,,,Omitted,,,,,,,,false,,,false,false,false,Sustainable Tourism;,false,,,false,,,,,false,,,,false,,IDB LAB,External Meeting,,,,,,,false,,,false,Sustainable Tourism,,,,false,,,,,,,false,,Source v1.1 migration,,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
CTT Cheer Fair,0012200000VBjMoAAL,false,"CTT Cheer Fair Event is an annual event which seeks to highlight the work of the IDB Group in Trinidad and Tobago and its partners by showcasing to the public in a format which  is interactive, fun and enlightening in a fair-like community outreach event.  It also provides an opportunity to broaden awareness and empower mind-sets, through the promotion of environmentally friendly, healthy, and gender-aware living.",In Progress,,,2020-12-31,Events,,,Pipeline,,,,,TT,Administrator,Country Office in Trinidad and Tobago,false,,Responsible,false,false,false,Social Investment;,false,,Medium,false,,,,,false,,,,false,,Shared,,,,,,,,false,0012200000VBjMoAAL,,false,Social Investment,,IDB;IDB Lab;IDB Invest,,false,,,,,,,false,,,TT,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
CTT Operations Team Work Planning 2020,0012200000VBjMoAAL,false,Meetings of CTT Operations group to plan portfolio management actions involving internal and external stakeholders to be executed in 2020,In Progress,500,,2020-12-31,Collaboration,,,Pipeline,,,,,TT,Administrator,Country Office in Trinidad and Tobago,false,,Responsible,false,false,false,Reform / Modernization of the State;,false,,,false,,,,,false,,,,false,,IDB,Internal Meeting,,,,,,,false,,,false,Reform / Modernization of the State,,,Reform and Public Sector Support,false,,,,,,,false,,,TT,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Development of the Program Operations Manual for BL-L1034 - Belize,0012200000VBmfEAAT,false,Development of the Program Operations Manual for the Operation BL-L1034 Safety Nets for Vulnerable Populations affected by COVID-19 in Belize Project,Closed Won,25000,,2020-07-17,Knowledge Product,,,Closed,,,,,BZ,Administrator,Country Office in Belize,false,,Responsible,false,false,false,Health;,false,,Medium,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Health,,,Disease Prevention & Control,false,,,,,,,false,,,BZ,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Program Operations Manual for BL-L1020 Amendatory Agreement Belize,0012200000VBmfEAAT,false,Development of the Program Operations Manual for the Operation BL-L1020 Amendatory Agreement of the Sustainable Tourism Program II in Belize.,Closed Won,20000,,2020-07-17,Knowledge Product,,,Closed,,,,,BZ,Administrator,Country Office in Belize,false,,Responsible,false,false,false,Health;,false,,Medium,false,,,,,false,,,,false,,,Existing Operation,,,,,,,false,,,false,Health,,,Disease Prevention & Control,false,,,,,,,false,,,BZ,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Consejo Asesor La Fábrica,0012200000VBlQRAA1,false,"Participación en Consejo Asesor de La Fábrica de Ideas de Renca, que busca articular sector público y privado en iniciativas de Desarrollo Económico Local",In Progress,,,2021-08-31,Collaboration,,,Pipeline,,,,,CL,Administrator,Country Office in Chile,false,,Responsible,false,false,false,Private Firms and SME Development;,false,,High,false,,,,,false,,,,false,,IDB LAB,External Meeting,,,,,,,false,,,false,Private Firms and SME Development,,,,false,,,,,,,false,,,CL,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
"COVID-19: Apoyo de educación, nutrición y bienestar para niños en situación vulnerable CDMX",0012200000VBjMQAA1,false,"En el marco de las afectaciones causadas por el COVID-19, el objetivo de esta iniciativa es realizar una intervención escalable y medible, en la provisión de mecanismos de atención a niños, niñas y adolescentes en situación de vulnerabilidad para que reciban apoyo en materia de nutrición, salud, educación y bienestar, para promover mediante incentivos al comportamiento, acciones que impacten de forma positiva a las familias de los niños y niñas, en aspectos como la seguridad alimentaria, física y su bienestar emocional.",In Progress,151000,,2021-01-15,Collaboration,,,Pipeline,,,,,MX,Administrator,Country Office in Mexico,false,,Responsible,false,false,false,Education;,false,,Medium,false,,,,,false,,,,false,,IDB,IDB Group Event,,,,,,,false,,,false,Education,,,Preschool & Early Childhood Education,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Fiscal Support Programme to Regain Sustainable Growth,0012200000VBkuYAAT,false,"The objective of the programme is to support the government of Suriname fiscal efforts to regain sustainable economic growth in the post-pandemic health era. This would be achieved through the strengthening of its fiscal institutions that are involved with the planning and execution of the fiscal budget, tax policy and tax administration and public investment.",Initiation,50000000,,2020-12-31,Loans,,,Pipeline,,,,,SR,Administrator,Fiscal Management Division,false,,Responsible,false,false,false,Reform / Modernization of the State;,false,,High,false,,,,,false,,,,false,,IDB,,,,,,,,false,0012200000VBkuYAAT,,false,Reform / Modernization of the State,,,Fiscal Policy for Sustainability and Growth,false,,,,,,,false,,,SR,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
COVID-19: Plataforma de análisis de datos de movilidad para medir el cumplimiento del distanciamiento social,0012200000VBjMQAA1,false,"SinTráfico es la plataforma líder de Big Data y analítica de movilidad para empresas y gobiernos en México, que, gracias a contar con la red de datos de movilidad más grande del país y a la plataforma más especializada en análisis de datos del mercado, genera insights e inteligencia para que las ciudades se planeen, desarrollen y operen con decisiones basadas en evidencia.",In Progress,50000,,2020-07-31,Collaboration,,,Pipeline,,,,,MX,Administrator,Country Office in Mexico,false,,Responsible,false,false,false,Science and Technology;,false,,Medium,false,,,,,false,,,,false,,Shared,IDB Group Event,,,,,,,false,,,false,Science and Technology,,IDB;IDB Lab,ICT (Information and Communications Technology),false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Rueda de Negocios Virtual y Financiamiento de Proyectos,0012200000VBluHAAT,false,"La Zona Libre de Colón es una zona franca que cuenta con más de 70 años de experiencia en el comercio mundial, es la zona más grande del continente americano y el principal centro de contenedores de América Latina.",Initiation,,,2020-12-31,Loans,,,Pipeline,,,,,PA,Administrator,Integration and Trade Sector,false,,Responsible,false,false,false,Trade;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Trade,,,,false,,,,,,,false,,,PA,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Endoso Chile a Programa Regional Geotermico,0012200000VBkVyAAL,false,Endoso para elegibilidad de Chile en un programa regional de promocion de uso de la geotermia,Initiation,440000000,,2020-12-15,Loans,,,Pipeline,,,,,CL,Administrator,Infrastructure and Energy Sector,false,,Responsible,false,false,false,Energy;,false,,High,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Energy,,,Energy Efficiency and Renewable Energy In End Use,false,,,,,,,false,,,CL,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Todos aprendamos a leer en el Hogar,,false,Cooperación Técnica para dar respuesta a la Emergencia Nacional generada por el COVID-19 en los siguientes programas:  Plaza Sésamo; Plan Nacional de Lectura;	Estrategia y plan de reapertura del sistema educativo panameño; Definir un modelo de preescolar no formal con participación comunitaria y rural.,Initiation,,,2020-06-30,Technical Cooperation,,,Pipeline,,,,,PA,Administrator,Education Division,false,,Responsible,false,false,false,Education;,false,,Medium,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Education,,,Primary Education,false,,,,,,,false,,,PA,,,,,false,false,Migration Initiative,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
El futuro es plateado: construyendo un ecosistema emprendedor,,false,"Se propone desarrollar una primera experiencia piloto para promover un ecosistema emprendedor en torno a la Economía Plateada en Uruguay, de forma tal que aumente la oferta de servicios y productos dirigidos a esta población, contribuyendo a su mayor bienestar. Así como a la generación de emprendimientos con potencial de escalamiento a nivel local y regional.",Closed Won,1400000,,2020-08-31,Project,,,Closed,,,,,UY,,,false,,,false,false,false,,false,,,false,,,,,false,,,,false,Health;Science and Technology;Social Investment;Urban Development and Housing,IDB LAB,IDB Group Event,,,,,,,false,,,false,Multisectoral,,,,false,,,,,,,false,06A3s00000FWIiNEAX,,UY,Entrepreneur;Women;Poor/vulnerable/low income,700000,,Grant - Non Reimbursable Technical Cooperation,true,true,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Multisectoral:Sector_Global__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Grant - Non Reimbursable Technical Cooperation:Instrument_Type__c --
Financing Agribusiness and Cooperatives response to COVID-19 in Central America and Peru,0012200000VBjLQAA1,false,Opportunity to develop a project with some 30 to 40 agricultural cooperatives in need of financial support during the covid.,Closed Won,15500000,,2020-05-29,Project,,,Closed,,,,,CR;GT;HN;NI;PE,,,false,,,false,false,false,Agriculture and Rural Development;,false,,,false,,,,,false,,,Climate - Smart Agriculture,false,,IDB LAB,External Meeting,,,,,,,false,,,false,Agriculture and Rural Development,,,,false,,,,Value Chain Transformation,,,false,06A3s00000FWIa9EAH,,CR;GT;HN;NI;PE,Poor/vulnerable/low income;Rural,1000000,,Grant - Non Reimbursable Technical Cooperation,true,true,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Climate - Smart Agriculture:AI_Area__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Grant - Non Reimbursable Technical Cooperation:Instrument_Type__c --
Apoyo a la construcción de un marco para la Continuidad del Funcionamiento en la Administración Central del Gob. Chile,,false,"En el marco de las recientemente promulgadas Ley de Transformación Digital (Ley No. 21.180) y Ley que modifica el Código del Trabajo en Materia de Trabajo a Distancia (Ley No. 21.220), podríamos contribuir a la formulación e implementación de un Plan de Continuidad del trabajo y la prestación de servicios de la Administración Central del Gobierno. 
CT para elaborar un plan de acción y hoja de ruta para la Continuidad en contextos de crisis y la “nueva normalidad”; y PBL y para promover medidas normativas y administrativas que habiliten dicho plan.",In Progress,,,2020-12-31,Loans,,,Pipeline,,,,,CL,Administrator,Innovation in Citizen Services Division,false,,Responsible,false,false,false,Reform / Modernization of the State;,false,,Medium,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Reform / Modernization of the State,,,Reform and Public Sector Support,false,,,,,,,false,,,CL,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Transferencias Monetarias Condicionadas,0012200000VBlhVAAT,false,"Tiene como objetivo mitigar el efecto negativo en los ingresos de la población, derivados de la crisis del COVID-19.",Closed Won,100000000,,2020-08-31,Loans,,,Closed,,,,,GT,Administrator,Social Protection and Health Division,false,,Responsible,false,false,false,Social Investment;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,0012200000VBlhVAAT,,false,Social Investment,,,Poverty Alleviation,false,,,,,,,false,,,GT,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Fondo de Garantía de Liquidez,0012200000VBlp4AAD,false,"Tiene como objetivo: Protección del tejido empresarial que permita lograr una reactivación económica más rápida, una vez concluya la crisis.",Initiation,150000000,,2020-07-31,Loans,,,Pipeline,,,,,GT,Administrator,"Connectivity, Markets and Finance Division",false,,Responsible,false,false,false,Private Firms and SME Development;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Private Firms and SME Development,,,Integrated Regional/Local Economic Development,false,,,,,,,false,,,GT,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Apoyo a las acciones para mitigar el COVID-19 en Guatemala,,false,"El proyecto tendrá por objeto apoyar en las acciones impulsadas por la actual Administración de Gobierno, en torno al marco de la Declaración de Estado de Calamidad Pública, en todo el territorio nacional como consecuencia del pronunciamiento de la OMS de la epidemia de Coronavirus COVID-19",Closed Won,200000,,2020-10-06,Technical Cooperation,,,Closed,,,,,GT,Administrator,Social Protection and Health Division,false,,Responsible,false,false,false,Social Investment;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Social Investment,,,Poverty Alleviation,false,,,,,,,false,,,GT,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Preparación propuesta de proyecto para ser presentada ante el Fondo para el Medio Ambiente Mundial,0012200000VBm1RAAT,false,Este proyecto tiene como objeto la formulación y administración de una propuesta de proyecto para ser presentada ante el Fondo para el Medio Ambiente Mundial,Initiation,1123031,,2020-10-31,Technical Cooperation,,,Pipeline,,,,,GT,Administrator,"Environment, Rural Development and Risk Management Division",false,,Responsible,false,false,false,Environment and Natural Disasters;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Environment and Natural Disasters,,,Biodiversity and Protected Areas Conservation,false,,,,,,,false,,,GT,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Intercambio de Experiencias entre Honduras y Chile materia de planificación y mejoramiento urbanos en barrios marginal,0012200000VBlnyAAD,false,"ealizar una visita de intercambio de conocimientos con el Ministerio de Vivienda y Urbanismo de la República de Chile y la Secretaria de Desarrollo Comunitario, Agua y Saneamiento (SEDECOAS-FHIS), conocer sobre la experiencia chilena en la implementación de proyectos de mejoramiento de barrios vulnerables en ejecución, obras de saneamiento y urbanización como la atención a la gestión social.",Initiation,20000,,2020-12-31,Technical Cooperation,,,Pipeline,,,,,HN,Administrator,Country Office in Honduras,false,,Responsible,false,false,false,Urban Development and Housing;,false,,High,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Urban Development and Housing,,,Neighborhood Upgrading,false,,,,,,,false,,,HN,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Change behavior in urban services & Covid-19,,false,The use of urban services as an effect of the Pandemic and the new behaviors people should have.,Initiation,,,2020-12-31,Collaboration,,,Pipeline,,,,,GY,Administrator,Country Office in Guyana,false,,Responsible,false,false,false,Social Investment;,false,,Low,false,,,,,false,,,,false,,IDB,Internal Meeting,,,,,,,false,,,false,Social Investment,,,Citizen Safety,false,,,,,,,false,,,GY,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Reorientation of TT-T1090 to digital skills,0012200000VBjMoAAL,false,this TC was intended to support the education loan TT-L1053 with non-traditional skills training. however that operation is pipeline B 2021 and the thinking is to reorient the TC to support women and persons in the informal sector with digital skills along with gender sensitization training and possibly job placements,Initiation,400000,,2020-12-30,Technical Cooperation,,,Pipeline,,,,,TT,Administrator,Country Office in Trinidad and Tobago,false,,Responsible,false,false,false,Education;,false,,,false,,,,,false,,,,false,,,Existing Operation,,,,,,,false,,,false,Education,,,,false,,,,,,,false,,,TT,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
